epoch,train_loss,val_loss,val_auroc,val_auprc,val_utility,lr,time_sec
1,0.330131,0.259920,0.926454,0.270663,-1.151019,0.0001,19.10
2,0.266318,0.246497,0.937455,0.308247,-0.950789,0.0001,18.27
3,0.245372,0.322949,0.943447,0.352895,-0.803320,0.0001,17.26
4,0.242500,0.393038,0.952383,0.417351,-0.687015,0.0001,17.14
5,0.239959,0.244417,0.956120,0.436406,-0.616075,0.0001,17.05
6,0.230267,0.237774,0.961311,0.497488,-0.576857,0.0001,17.46
7,0.221014,0.362760,0.962512,0.520354,-0.564859,0.0001,17.65
8,0.216452,0.335746,0.964391,0.514306,-0.451151,0.0001,17.07
9,0.210240,0.409537,0.967682,0.571130,-0.507922,0.0001,17.33
10,0.203751,0.229508,0.969259,0.615893,-0.415385,0.0001,17.21
11,0.201888,0.266931,0.968836,0.600774,-0.391749,0.0001,17.90
12,0.206057,0.364688,0.970622,0.624282,-0.464661,0.0001,17.37
13,0.199617,0.226626,0.972186,0.628727,-0.365713,0.0001,17.19
14,0.211478,0.285758,0.972579,0.643961,-0.380243,0.0001,16.87
15,0.202741,0.199034,0.973184,0.643329,-0.398619,0.0001,17.09
16,0.191466,0.361356,0.972532,0.659093,-0.383925,0.0001,17.43
17,0.200229,0.306196,0.973633,0.667460,-0.319395,0.0001,18.78
18,0.208895,0.228387,0.974150,0.659232,-0.366568,0.0001,18.58
19,0.188777,0.434505,0.974120,0.666929,-0.340927,0.0001,17.83
20,0.199921,0.326751,0.975614,0.676336,-0.316864,0.0001,19.12
21,0.194616,0.398994,0.975834,0.667773,-0.336621,0.0001,18.10
22,0.204713,0.367895,0.975524,0.679558,-0.319527,0.0001,18.51
23,0.191731,0.222349,0.977031,0.685225,-0.377153,0.0001,17.93
24,0.197861,0.220957,0.976317,0.691666,-0.349638,0.0001,19.09
25,0.185503,0.391122,0.976341,0.691383,-0.345431,5e-05,17.86
26,0.188602,0.316300,0.976947,0.696843,-0.342143,5e-05,17.61
27,0.185478,0.367923,0.977035,0.692497,-0.354997,5e-05,17.72
28,0.185762,0.463449,0.976682,0.696176,-0.344872,5e-05,19.10
29,0.200498,0.394381,0.976901,0.694124,-0.336588,2.5e-05,18.05
30,0.195453,0.380940,0.977216,0.701655,-0.329421,2.5e-05,17.45
