threshold,utility,auroc,auprc,precision,recall,f1,mean_lead_time_h,caught_ge_6h_pct,caught_ge_1h_pct,late_detection_pct
0.05,-10.7671,0.3636,0.0095,0.0133,1.0,0.0263,37.3,69.32,79.08,0.0
0.06,-10.7671,0.3636,0.0095,0.0133,1.0,0.0263,37.3,69.32,79.08,0.0
0.07,-10.7671,0.3636,0.0095,0.0133,1.0,0.0263,37.3,69.32,79.08,0.0
0.08,-10.7671,0.3636,0.0095,0.0133,1.0,0.0263,37.3,69.32,79.08,0.0
0.09,-10.7671,0.3636,0.0095,0.0133,1.0,0.0263,37.3,69.32,79.08,0.0
0.1,-10.7671,0.3636,0.0095,0.0133,1.0,0.0263,37.3,69.32,79.08,0.0
0.11,-10.7671,0.3636,0.0095,0.0133,1.0,0.0263,37.3,69.32,79.08,0.0
0.12,-10.7671,0.3636,0.0095,0.0133,1.0,0.0263,37.3,69.32,79.08,0.0
0.13,-10.7671,0.3636,0.0095,0.0133,1.0,0.0263,37.3,69.32,79.08,0.0
0.14,-10.7671,0.3636,0.0095,0.0133,1.0,0.0263,37.3,69.32,79.08,0.0
0.15,-10.7671,0.3636,0.0095,0.0133,1.0,0.0263,37.3,69.32,79.08,0.0
0.16,-10.7671,0.3636,0.0095,0.0133,1.0,0.0263,37.3,69.32,79.08,0.0
0.17,-10.7671,0.3636,0.0095,0.0133,1.0,0.0263,37.3,69.32,79.08,0.0
0.18,-10.7671,0.3636,0.0095,0.0133,1.0,0.0263,37.3,69.32,79.08,0.0
0.19,-10.7671,0.3636,0.0095,0.0133,1.0,0.0263,37.3,69.32,79.08,0.0
0.2,-10.7671,0.3636,0.0095,0.0133,1.0,0.0263,37.3,69.32,79.08,0.0
0.21,-10.7671,0.3636,0.0095,0.0133,1.0,0.0263,37.3,69.32,79.08,0.0
0.22,-10.7671,0.3636,0.0095,0.0133,1.0,0.0263,37.3,69.32,79.08,0.0
0.23,-10.7671,0.3636,0.0095,0.0133,1.0,0.0263,37.3,69.32,79.08,0.0
0.24,-10.7671,0.3636,0.0095,0.0133,1.0,0.0263,37.3,69.32,79.08,0.0
0.25,-10.7671,0.3636,0.0095,0.0133,1.0,0.0263,37.3,69.32,79.08,0.0
0.26,-10.7671,0.3636,0.0095,0.0133,1.0,0.0263,37.3,69.32,79.08,0.0
0.27,-10.7671,0.3636,0.0095,0.0133,1.0,0.0263,37.3,69.32,79.08,0.0
